ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
33,Brazil,,,7,Bash/Shell (all shells);JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);C#;JavaScript;PHP;Python;SQL;TypeScript,"Developer, back-end",,In-person,"Associate degree (A.A., A.S., etc.)",,25-34 years old,"Employed, full-time",Yes
34,Japan,,,16,Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python;TypeScript,"Developer, back-end",6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time","No, but I plan to soon"
35,United States of America,,,,C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PowerShell;Python;SQL;TypeScript,C++;Dart;Go;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Student, full-time",Yes
36,United States of America,,,6,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,"Developer, full-stack",7,Remote,Some college/university study without earning a degree,,25-34 years old,"Employed, full-time","No, and I don't plan to"
37,Austria,,,8,Bash/Shell (all shells);C#;Java;OCaml;SQL,Bash/Shell (all shells);Java;SQL,Student,,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
38,"Iran, Islamic Republic of...",,,6,Python,Python,Data scientist or machine learning specialist,,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,25-34 years old,"Employed, full-time",Yes
39,France,,,7,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,"Developer, full-stack",,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
40,Saudi Arabia,,,Less than 1 year,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C++;Dart;Go;Java;Python;Rust;Solidity;SQL;TypeScript,"Developer, full-stack",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Student, full-time",Yes
41,Brazil,,,7,HTML/CSS;JavaScript;Ruby;SQL,Elixir;Go;HTML/CSS;Ruby;Rust;SQL,"Developer, full-stack",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
42,Italy,,,12,Bash/Shell (all shells);C++;Python,Go,Research & Development role,7,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time",Yes
43,Ireland,,,15,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;TypeScript,C;Cobol;Fortran;Go;Zig,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
44,Austria,,,14,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Assembly;C#;C++;HTML/CSS;JavaScript;Python;SQL,Academic researcher,9,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time;Student, full-time","No, and I don't plan to"
45,Romania,,,7,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",9,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
46,United Kingdom of Great Britain and Northern Ireland,,,4,C#;Dart;Fortran;Go;Julia;Python;SQL;VBA,Dart;Go;Python;Rust;SQL,,7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time;Student, part-time",Yes
47,United States of America,,,15,C;C++,C++,"Developer, embedded applications or devices",6,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time",Yes
48,United States of America,,,15,Crystal;Julia;R;Ruby,Crystal;Julia;R;Ruby,System administrator,,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,45-54 years old,"Employed, part-time","No, and I don't plan to"
49,Germany,,,45,Delphi;Fortran;SQL,Delphi;SQL,"Developer, desktop or enterprise applications",,Remote,Some college/university study without earning a degree,,65 years or older,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
50,Germany,,,4,Java;JavaScript;SQL,Java;JavaScript;Python,"Developer, back-end",3,Remote,Some college/university study without earning a degree,,25-34 years old,"Employed, full-time",Yes
51,United Kingdom of Great Britain and Northern Ireland,,,Less than 1 year,Assembly;C#;Java;JavaScript;Python;Rust,Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;Rust;TypeScript,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
52,United States of America,,,3,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time;Employed, part-time",Yes
53,Germany,,,1,C;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, part-time;Employed, part-time",Yes
54,Bulgaria,,,6,C#;HTML/CSS;JavaScript;SQL,C#;JavaScript;SQL,"Developer, full-stack",3,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
55,United Kingdom of Great Britain and Northern Ireland,,,8,C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,JavaScript;Lua;PHP;Python;Rust;TypeScript,"Developer, back-end",7,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,25-34 years old,"Employed, full-time","No, and I don't plan to"
56,Germany,,,24,C;Go;Python;SQL,C;Go;OCaml;Python;Rust;SQL;Zig,Other (please specify):,,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,55-64 years old,"Employed, full-time","No, and I don't plan to"
57,Italy,,,,C#;JavaScript;Lua,C#;JavaScript;Lua,"Developer, full-stack",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,I prefer not to say,"No, and I don't plan to"
58,Turkey,,,2,Python,Python,"Developer, back-end",6,Remote,Some college/university study without earning a degree,,25-34 years old,"Employed, full-time","No, but I plan to soon"
59,India,,,,C;C++;HTML/CSS;JavaScript;Python;SQL,C++;HTML/CSS;Python,Student,,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
60,Ireland,,,6,Bash/Shell (all shells);C#;Java;PowerShell;Python;SQL,Bash/Shell (all shells);C#;Java;JavaScript;Python;SQL,"Developer, back-end",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Not employed, but looking for work","No, but I plan to soon"
61,Nepal,,,,Assembly;C++;Go;HTML/CSS;JavaScript;Julia;Lisp;PHP;Prolog;Rust;SQL;TypeScript,Assembly;C++;Go;HTML/CSS;Julia;Lisp;Rust;SQL;Zig,Other (please specify):,,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time;Employed, part-time",Yes
62,Switzerland,,,29,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,"Developer, back-end",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,55-64 years old,"Employed, full-time","No, but I plan to soon"
63,Algeria,,,,Assembly;C;HTML/CSS;JavaScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, part-time",Yes
64,Bulgaria,,,5,PowerShell;Ruby,Go;PowerShell;Ruby;Rust,DevOps specialist,9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
65,Sweden,,,,Java,Java,Engineering manager,9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time","No, but I plan to soon"
66,"Iran, Islamic Republic of...",,,1,Assembly;C;C++;Dart;Kotlin;PHP;SQL,C++;Dart,Student,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time","No, and I don't plan to"
67,Switzerland,,,Less than 1 year,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Haskell;Java;Python;SQL,Bash/Shell (all shells);C;C++;Go;Haskell;Java;Kotlin;Python;Rust;SQL,Student,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,18-24 years old,"Student, full-time",Yes
68,United Kingdom of Great Britain and Northern Ireland,,,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Dart,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time",Yes
69,Netherlands,,,15,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;SQL;TypeScript,"Developer, full-stack",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Not employed, but looking for work",Yes
70,Croatia,,,8,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",9,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
71,Australia,,,,,,,,,Some college/university study without earning a degree,,35-44 years old,"Not employed, and not looking for work","No, and I don't plan to"
72,Sweden,,,30,C#;PowerShell;SQL,C#;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time","No, but I plan to soon"
73,Pakistan,2040000,PKR	Pakistani rupee,1,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,C#;Rust;Scala,Data scientist or machine learning specialist,10,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,18-24 years old,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Yes
74,Czech Republic,,,10,C++;Python;R,C++,"Developer, desktop or enterprise applications",9,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
75,Switzerland,,,30,Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig,Assembly;Bash/Shell (all shells);C++;Clojure;Elixir;Erlang;Fortran;Java;JavaScript;Lua;OCaml;Python;R;Rust;Scala;Zig,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,55-64 years old,"Employed, full-time","No, and I don't plan to"
76,India,,,,HTML/CSS;JavaScript,Dart;Kotlin;Swift,Designer,,,Some college/university study without earning a degree,,25-34 years old,"Not employed, but looking for work","No, but I plan to soon"
77,United States of America,,,25,Groovy;HTML/CSS;Java;JavaScript;Python,Groovy;HTML/CSS;Java;JavaScript;Python,Database administrator,6,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
78,Republic of North Macedonia,,,5,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C++;Dart;Python;SQL;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,18-24 years old,"Employed, full-time;Student, part-time",Yes
79,United States of America,,,24,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;Perl;Python,"Developer, full-stack",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time","No, but I plan to soon"
80,United States of America,,,26,C#;JavaScript;TypeScript,C#;F#;JavaScript;Rust;TypeScript,Engineering manager,8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time",Yes
81,Germany,,,10,C#;PowerShell;Rust,C;C#;PowerShell,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
82,Finland,,,9,Go;HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
83,Slovakia,,,20,C;Python,C;Python,DevOps specialist,4,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, but I plan to soon"
84,Poland,,,4,Bash/Shell (all shells);C;C++;Go;JavaScript;Python,Rust,"Developer, back-end",2,Remote,Some college/university study without earning a degree,,25-34 years old,"Employed, full-time","No, and I don't plan to"
85,United States of America,,,12,C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;SQL,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;TypeScript,"Developer, desktop or enterprise applications",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Not employed, but looking for work","No, and I don't plan to"
86,United States of America,,,,SQL,Cobol;Fortran;HTML/CSS;JavaScript;SQL,Other (please specify):,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Not employed, and not looking for work","No, and I don't plan to"
87,United Kingdom of Great Britain and Northern Ireland,,,29,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,45-54 years old,"Employed, full-time",Yes
88,Germany,,,9,HTML/CSS;Python;Rust,Rust,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
89,United Kingdom of Great Britain and Northern Ireland,,,20,C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),C#;SQL;VBA;Visual Basic (.Net),"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
90,India,,,,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),Security professional,8,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time","No, but I plan to soon"
91,Russian Federation,,,,Python,Python,Designer,,,Some college/university study without earning a degree,,18-24 years old,I prefer not to say,"No, and I don't plan to"
92,Poland,,,,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,C;C++;Rust,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time",Yes
93,United States of America,,,37,C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL,,"Senior Executive (C-Suite, VP, etc.)",4,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,55-64 years old,"Employed, full-time",Yes
94,Ireland,,,4,GDScript;JavaScript;PHP,GDScript;JavaScript;Rust,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, but I plan to soon"
95,"Iran, Islamic Republic of...",,,,C#;HTML/CSS;JavaScript;PHP;PowerShell,Assembly;C;C#;HTML/CSS;JavaScript;PHP;PowerShell,"Developer, full-stack",,,Some college/university study without earning a degree,,Under 18 years old,"Student, part-time",Yes
96,Greece,,,2,C#;HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;PHP;SQL,"Developer, full-stack",3,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
97,India,,,7,Bash/Shell (all shells);C#;JavaScript,,"Developer, mobile",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
98,United States of America,,,33,Bash/Shell (all shells);C;C++;Java;Python,,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,55-64 years old,"Employed, full-time","No, but I plan to soon"
99,Italy,,,1,C#;JavaScript;PowerShell;SQL,C#,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Employed, full-time",Yes
100,Israel,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,Assembly;Bash/Shell (all shells);C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;Python;Swift;Zig,"Developer, game or graphics",,,Primary/elementary school,,Under 18 years old,"Student, full-time","No, and I don't plan to"
101,United Kingdom of Great Britain and Northern Ireland,,,11,Bash/Shell (all shells);Go;SQL,Bash/Shell (all shells);Dart;Go;Rust;SQL,"Developer, back-end",2,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25-34 years old,"Employed, full-time",Yes
102,Poland,,,3,C#;JavaScript;SQL;TypeScript,C#;SQL,"Developer, full-stack",7,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
103,Italy,,,8,Go;PHP;Python;SQL,C++;Rust,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
