ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
11,United States of America,USA,160000,USD	United States dollar,13440000,18,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,6,Go;SQL,"Developer, full-stack",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",No,0
12,United Kingdom of Great Britain and Northern Ireland,United Kingdom,127000,GBP	Pound sterling,13462000,17,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,8,Bash/Shell (all shells);F#;HTML/CSS;PowerShell;Rust;TypeScript,Other (please specify):,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
13,United Kingdom of Great Britain and Northern Ireland,United Kingdom,115000,GBP	Pound sterling,12190000,10,HTML/CSS;Java;JavaScript;Kotlin;SQL,5,HTML/CSS;Java;JavaScript;Kotlin;SQL,"Developer, mobile",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time;Student, part-time",Yes,1
14,Germany,Germany,65000,EUR European Euro,5915000,10,Go;Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript,7,Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
15,United States of America,USA,300000,USD	United States dollar,25200000,18,Bash/Shell (all shells);C;C++;Go,4,Bash/Shell (all shells);C;C++;Go;Java;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",No,0
16,Canada,Canada,350000,CAD	Canadian dollar,21700000,24,C#;C++;F#;Rust,4,C++;F#;Rust,"Developer, game or graphics",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",Yes,1
17,Italy,Italy,100000,EUR European Euro,9100000,27,Java;Python,2,Python,"Senior Executive (C-Suite, VP, etc.)",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,20 to 99 employees,60,45-54 years old,45,"Independent contractor, freelancer, or self-employed",No,0
18,Brazil,Brazil,200000,BRL	Brazilian real,3000000,12,HTML/CSS;JavaScript;SQL;TypeScript,4,Elixir;HTML/CSS;Rust;SQL,"Developer, front-end",,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
19,United States of America,USA,140000,USD	United States dollar,11760000,26,Bash/Shell (all shells);Java;SQL,3,Bash/Shell (all shells);Groovy;Java,"Developer, QA or test",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,45-54 years old,45,"Employed, full-time",No,0
20,United States of America,USA,200000,USD	United States dollar,16800000,40,C;C++;Perl;SQL,4,C;C++;Perl;Rust;SQL,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I don’t know,300,55-64 years old,55,"Employed, full-time",No,0
21,United States of America,USA,93000,USD	United States dollar,7812000,4,Bash/Shell (all shells);Java;JavaScript;TypeScript,4,JavaScript;Python;TypeScript,"Developer, full-stack",,Remote,2,"Associate degree (A.A., A.S., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
22,Germany,Germany,135000,EUR European Euro,12285000,10,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,5,Assembly;Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
23,Canada,Canada,165000,CAD	Canadian dollar,10230000,17,HTML/CSS;Java;JavaScript;SQL;TypeScript,5,HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
24,United States of America,USA,100000,USD	United States dollar,8400000,9,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Julia;Lua;Python,11,Bash/Shell (all shells);C;C++;JavaScript;Lua;Python;Rust;Zig,Academic researcher,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
25,United States of America,USA,102000,USD	United States dollar,8568000,22,C#;HTML/CSS;JavaScript;SQL,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,55-64 years old,55,"Employed, full-time",Yes,1
26,United States of America,USA,136000,USD	United States dollar,11424000,1,Ada;Apex;Assembly;Bash/Shell (all shells);C++;Dart;HTML/CSS;Java;JavaScript;Objective-C,10,C;Lisp;TypeScript,System administrator,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time;Student, full-time",Yes,1
27,United States of America,USA,175000,USD	United States dollar,14700000,20,C#;HTML/CSS;JavaScript;PowerShell;SQL,5,C#;HTML/CSS;JavaScript;PowerShell;R;Rust;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
28,Germany,Germany,80000,EUR European Euro,7280000,16,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,8,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
29,United States of America,USA,130000,USD	United States dollar,10920000,25,Bash/Shell (all shells);Python,2,Python,"Developer, desktop or enterprise applications",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",No,0
30,United States of America,USA,150000,USD	United States dollar,12600000,13,Bash/Shell (all shells);C++;Python,3,Python,Research & Development role,,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",Yes,1
31,United States of America,USA,400000,USD	United States dollar,33600000,19,Go;JavaScript;Python;Rust;SQL;TypeScript,6,Go;JavaScript;Python;Rust;SQL;TypeScript,"Developer, back-end",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
32,United States of America,USA,160000,USD	United States dollar,13440000,9,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;Ruby;Rust,8,Bash/Shell (all shells);PowerShell;Python;Rust,Other (please specify):,,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
33,Turkey,Turkey,78000,TRY	Turkish lira,161460,13,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,5,JavaScript;PHP,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
34,Georgia,Georgia,144000,GEL	Georgian lari,4881600,17,C#;C++;Lua;PowerShell;SQL,5,C#;C++;Go;Kotlin;PowerShell;Rust;SQL;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
35,United States of America,USA,100000,USD	United States dollar,8400000,9,C#;C++;SQL,3,C#,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
36,Saudi Arabia,Saudi Arabia,62000,SAR	Saudi Arabian riyal,62000,10,C#;C++;HTML/CSS;Java;JavaScript;SQL;Swift;Visual Basic (.Net),8,C#;HTML/CSS;SQL,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Independent contractor, freelancer, or self-employed;Employed, part-time",No,0
37,United States of America,USA,220000,USD	United States dollar,18480000,22,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
38,United States of America,USA,220000,USD	United States dollar,18480000,13,Bash/Shell (all shells);Go;Java;JavaScript;Lisp;Python;Rust;SQL;TypeScript,9,Elixir;Erlang;Lisp;Python;Rust;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
39,United States of America,USA,250000,USD	United States dollar,21000000,22,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,6,Go;HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
40,United States of America,USA,140000,USD	United States dollar,11760000,35,C#;JavaScript;PowerShell;SQL;TypeScript,5,C#;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,55-64 years old,55,"Employed, full-time",Yes,1
41,United States of America,USA,150000,USD	United States dollar,12600000,25,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL,9,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Perl;SQL;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",No,0
42,United Kingdom of Great Britain and Northern Ireland,United Kingdom,82000,GBP	Pound sterling,8692000,9,C#;F#;HTML/CSS;JavaScript;Python;TypeScript,6,C#;F#,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
43,United States of America,USA,150000,USD	United States dollar,12600000,31,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,7,Bash/Shell (all shells);JavaScript;Kotlin;Python;SQL;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,65 years or older,65,"Employed, full-time",Yes,1
44,Germany,Germany,90000,EUR European Euro,8190000,12,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;TypeScript,8,Bash/Shell (all shells);C;C++;Python,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
45,United States of America,USA,150000,USD	United States dollar,12600000,10,C#;HTML/CSS;JavaScript;SQL;TypeScript,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
46,Ukraine,Ukraine,70500,UAH	Ukrainian hryvnia,148050,8,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;MicroPython;TypeScript,"Developer, front-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",No,0
47,United Kingdom of Great Britain and Northern Ireland,United Kingdom,120000,GBP	Pound sterling,12720000,41,Assembly;Bash/Shell (all shells);C;Perl,4,Assembly;Bash/Shell (all shells);C;JavaScript;Perl,Other (please specify):,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,55-64 years old,55,"Employed, full-time",No,0
48,United States of America,USA,185000,USD	United States dollar,15540000,20,Go;Python;Ruby;Rust;SQL,5,C#;Go;PowerShell;Python;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,55-64 years old,55,"Employed, full-time",Yes,1
49,Spain,Spain,85000,EUR European Euro,7735000,11,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,5,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Ruby;SQL,Engineering manager,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",No,0
50,Italy,Italy,140000,GBP	Pound sterling,14840000,11,HTML/CSS;JavaScript;R;VBA,4,HTML/CSS;JavaScript;R,Other (please specify):,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
51,United Kingdom of Great Britain and Northern Ireland,United Kingdom,67000,GBP	Pound sterling,7102000,14,C#;PowerShell,2,C#;PowerShell,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
52,United States of America,USA,120000,USD	United States dollar,10080000,3,Bash/Shell (all shells);Go;JavaScript;Python;SQL,5,Bash/Shell (all shells);C++;Go;JavaScript;Lua;Rust;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
53,Cyprus,Cyprus,87500,EUR European Euro,7962500,11,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
54,Paraguay,Paraguay,100000,USD	United States dollar,8400000,9,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,6,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Independent contractor, freelancer, or self-employed",Yes,1
55,Switzerland,Switzerland,115000,CHF	Swiss franc,10925000,6,HTML/CSS;Java;JavaScript;TypeScript,4,C#;Java;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,300,18-24 years old,18,"Employed, full-time",Yes,1
56,United States of America,USA,300000,USD	United States dollar,25200000,24,C;C#;C++;JavaScript;Objective-C;PowerShell;Python;Scala;Swift;TypeScript,10,F#;Lisp;Objective-C;PowerShell;Python;Swift,Developer Experience,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
57,Ireland,Ireland,150000,EUR European Euro,13650000,30,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,5,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,100 to 499 employees,300,45-54 years old,45,"Independent contractor, freelancer, or self-employed",Yes,1
58,Germany,Germany,83000,EUR European Euro,7553000,14,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,6,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
59,Lithuania,Lithuania,84000,EUR European Euro,7644000,10,C#;Java;JavaScript;Python;SQL;TypeScript,6,C#;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
60,United States of America,USA,190000,USD	United States dollar,15960000,17,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Nim;PHP;Rust;SQL;TypeScript,10,Bash/Shell (all shells);C#;Dart;Go;Haskell;HTML/CSS;Lua;Nim;PHP;Rust;SQL,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
61,Romania,Romania,150000,EUR European Euro,13650000,17,HTML/CSS;JavaScript;PHP;SQL,4,Go;HTML/CSS;Java;JavaScript;Lua;PHP;SQL;Swift,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
62,United States of America,USA,118000,USD	United States dollar,9912000,5,Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL,7,Go;HTML/CSS;Python;SQL;Swift,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,18-24 years old,18,"Employed, full-time",No,0
63,United States of America,USA,150000,USD	United States dollar,12600000,20,C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,7,C++;Go;Lua;Python;TypeScript,Research & Development role,,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",No,0
64,United States of America,USA,87250,USD	United States dollar,7329000,2,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,5,C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",Yes,1
65,Germany,Germany,85000,EUR European Euro,7735000,8,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,6,C#;Elixir;Go;HTML/CSS;Kotlin;Python;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,35-44 years old,35,"Employed, full-time",Yes,1
66,United States of America,USA,124000,USD	United States dollar,10416000,10,Java;JavaScript;TypeScript,3,Java;JavaScript;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
67,Italy,Italy,85000,EUR European Euro,7735000,11,Python,1,Go;Python,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
68,United States of America,USA,120000,USD	United States dollar,10080000,40,Bash/Shell (all shells);Java,2,Bash/Shell (all shells);Java,Cloud infrastructure engineer,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,55-64 years old,55,"Employed, full-time",No,0
69,Germany,Germany,130000,EUR European Euro,11830000,17,Bash/Shell (all shells);Ruby;SQL,3,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
70,Canada,Canada,250000,CAD	Canadian dollar,15500000,5,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;SQL;TypeScript,7,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Kotlin;SQL;Swift;TypeScript;Zig,Cloud infrastructure engineer,,Remote,2,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
71,United States of America,USA,250000,USD	United States dollar,21000000,20,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby,5,Bash/Shell (all shells);Crystal;Elixir;Haskell;HTML/CSS;Nim;Ruby;Scala;Swift;Zig,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,45-54 years old,45,"Independent contractor, freelancer, or self-employed",Yes,1
72,United States of America,USA,257000,USD	United States dollar,21588000,5,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,9,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
73,United States of America,USA,163000,USD	United States dollar,13692000,13,C#;JavaScript;PowerShell;SQL;TypeScript,5,C#;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
74,Costa Rica,Costa Rica,200000,USD	United States dollar,16800000,15,C;C++;Go;JavaScript;TypeScript,5,Go;JavaScript;TypeScript,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
75,Poland,Poland,300000,PLN	Polish zloty,6300000,12,C++;Go;Python;Rust,4,C#;C++;F#;Python;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",Yes,1
76,France,France,62000,EUR European Euro,5642000,5,C;OCaml,2,Rust,Research & Development role,,In-person,0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
77,United States of America,USA,105000,USD	United States dollar,8820000,7,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,9,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,"Developer, mobile",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",No,0
78,United States of America,USA,70000,USD	United States dollar,5880000,12,PHP;PowerShell;SQL,3,Bash/Shell (all shells);JavaScript;PHP;PowerShell;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
79,United Kingdom of Great Britain and Northern Ireland,United Kingdom,100000,GBP	Pound sterling,10600000,13,C#;TypeScript,2,C#;Go;Rust,"Senior Executive (C-Suite, VP, etc.)",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
